Word,Type,Original,Translated
wife,Monoseme,68.7832244604235,91.99202960280617
opportunity,Monoseme,79.13971633469839,92.35391778692926
employee,Monoseme,76.15927624715289,88.98993399271093
dictionary,Monoseme,79.7121904882467,91.83405720067958
income,Monoseme,76.00754387062734,89.0453079675724
artist,Monoseme,72.5989083167077,92.62941614772204
emotion,Monoseme,80.48678336020626,89.87615783504674
equipment,Monoseme,74.85301304805614,92.92051127116848
kitchen,Monoseme,73.37877552371862,92.53455159451727
hotel,Monoseme,75.97333415586029,93.28059956083855
achieve,Monoseme,79.78732299537478,95.68469012767808
enable,Monoseme,78.82856403040158,96.73562915757498
compute,Monoseme,82.16184950220317,90.3020712378443
deserve,Monoseme,80.89491511500212,92.86758835281924
compete,Monoseme,81.5833242210593,90.72508512880883
resemble,Monoseme,81.74262112015798,93.54380158181507
flee,Monoseme,80.97252110499304,90.11292239003305
cooperate,Monoseme,82.75787359273605,98.45711181761337
await,Monoseme,82.17156388549296,93.76323485983829
detect,Monoseme,79.88926439673533,90.76750900575658
control,Inter-class polyseme,75.68714931687272,91.32478862051464
force,Inter-class polyseme,81.54804120983005,90.10556030650534
study,Inter-class polyseme,75.22385982027777,94.91469893563092
work,Inter-class polyseme,76.63433324865255,93.01276627219335
act,Inter-class polyseme,80.58596543683657,89.56179880538197
place,Inter-class polyseme,80.43458239350302,88.01201865856893
change,Inter-class polyseme,75.80610832957586,94.0228605478964
plan,Inter-class polyseme,80.05198125525114,92.3863838376499
attempt,Inter-class polyseme,75.73201693195176,97.12402589296535
claim,Inter-class polyseme,80.46592245906528,93.45488281161516
face,Inter-class polyseme,82.75445597998674,92.00921587012876
fire,Inter-class polyseme,77.09776095509918,91.81356372200688
share,Inter-class polyseme,80.5771665067434,91.65796791068077
answer,Inter-class polyseme,73.4154937992139,91.9504501250487
record,Inter-class polyseme,79.44285975588782,89.58961460660306
end,Inter-class polyseme,78.05300577501163,87.88349811856231
list,Inter-class polyseme,76.8865403263951,94.91966397327886
result,Inter-class polyseme,83.52914401067004,96.26624267726169
range,Inter-class polyseme,81.64262289492369,92.15491615029853
cost,Inter-class polyseme,76.04961597673496,91.65776537482448
life,Intra-class polyseme,74.76434429879195,89.94877514854596
section,Intra-class polyseme,82.12340772294577,91.09216621692867
thing,Intra-class polyseme,73.48840711039344,88.06551629272195
cell,Intra-class polyseme,77.62396841229571,96.52400583772994
feeling,Intra-class polyseme,79.31113767009792,92.46174258713586
moment,Intra-class polyseme,77.84207235002717,91.77748869325053
job,Intra-class polyseme,75.63241518003548,90.30334986176608
child,Intra-class polyseme,72.02795918416288,90.4605737940071
purpose,Intra-class polyseme,79.17971304572211,93.02200730981144
problem,Intra-class polyseme,71.43775382224241,96.23626387945477
accept,Intra-class polyseme,78.2008475484508,94.39628254430393
come,Intra-class polyseme,76.14234285972753,91.70280785679444
grow,Intra-class polyseme,80.3341186533492,92.67160012949151
recognize,Intra-class polyseme,77.6280188936849,94.02698847927866
appear,Intra-class polyseme,80.47709973893468,96.69762942545901
take,Intra-class polyseme,78.94725944327016,98.32310187225855
think,Intra-class polyseme,71.03774071612808,92.2774870196685
follow,Intra-class polyseme,84.40403243593097,91.54882804376702
serve,Intra-class polyseme,83.62184020466243,94.28016104212654
apply,Intra-class polyseme,83.50140544508848,95.71905893120645
