Word,Type,Original,Translated
wife,Monoseme,77.69208402963655,93.29937360945124
opportunity,Monoseme,68.41980410640939,95.61101594394573
employee,Monoseme,75.97810817652581,86.79841145533489
dictionary,Monoseme,83.1455218504965,85.43353135682484
income,Monoseme,74.2146860770384,90.08083506884971
artist,Monoseme,84.9785273975636,97.6810467622069
emotion,Monoseme,81.88909993427941,88.99623378731769
equipment,Monoseme,77.26542522105701,89.79447025582643
kitchen,Monoseme,81.88662311275773,100.45008285251802
hotel,Monoseme,75.99004587349405,87.02629123667259
achieve,Monoseme,78.8031547032785,101.1588826898664
enable,Monoseme,75.63215077828241,97.86018968257532
compute,Monoseme,88.80629016892121,86.92360971386744
deserve,Monoseme,84.67284059908553,92.59227451108876
compete,Monoseme,97.0236594026192,103.40919765787345
resemble,Monoseme,81.89307730516086,94.49961094441663
flee,Monoseme,84.18364722516206,88.63864584068176
cooperate,Monoseme,87.06064863719625,94.760663853169
await,Monoseme,86.3732958875674,89.21167503454383
detect,Monoseme,81.38318937589476,93.03532706763579
control,Inter-class polyseme,72.84030818708523,86.02050415268837
force,Inter-class polyseme,79.38878984401933,88.47531917036599
study,Inter-class polyseme,78.32218434983406,90.26209248137164
work,Inter-class polyseme,57.74124101527317,91.64518705248955
act,Inter-class polyseme,80.13547872059729,88.32675941655825
place,Inter-class polyseme,62.90701173486503,83.3258167005473
change,Inter-class polyseme,62.942523885335184,90.16439526162519
plan,Inter-class polyseme,70.78359325400345,84.0596852607489
attempt,Inter-class polyseme,75.17443944241577,97.30700868337799
claim,Inter-class polyseme,76.69360395429763,94.52761448374298
face,Inter-class polyseme,74.68871995386442,90.97034199065253
fire,Inter-class polyseme,78.33177419531637,92.57250387402794
share,Inter-class polyseme,70.07170349450337,87.50260117612861
answer,Inter-class polyseme,70.12334359803296,92.02138753870732
record,Inter-class polyseme,79.65744536449853,91.05451598288266
end,Inter-class polyseme,62.83554866000459,88.5340947160527
list,Inter-class polyseme,68.42719854701505,90.91487409329899
result,Inter-class polyseme,66.09259218171871,95.306432380942
range,Inter-class polyseme,69.95616397242243,92.38327340758188
cost,Inter-class polyseme,72.97226893989057,90.70706077285978
life,Intra-class polyseme,65.08255998198267,82.1860764352123
section,Intra-class polyseme,79.9540416989744,90.81350019414855
thing,Intra-class polyseme,49.994389575364615,82.39792942559338
cell,Intra-class polyseme,88.99652272730152,104.59568729466523
feeling,Intra-class polyseme,67.27401622624627,90.42105597723643
moment,Intra-class polyseme,61.71146782549885,91.67985930878595
job,Intra-class polyseme,75.34460128544295,95.40215853193926
child,Intra-class polyseme,79.03424448662594,88.33856335260818
purpose,Intra-class polyseme,65.64708509107736,86.262908601061
problem,Intra-class polyseme,68.31598495931595,93.52620768975149
accept,Intra-class polyseme,72.7760401523249,96.63249795484056
come,Intra-class polyseme,55.96388675640464,87.57668460565398
grow,Intra-class polyseme,75.28764356538608,90.17632980265789
recognize,Intra-class polyseme,71.98088800330918,101.45820191941725
appear,Intra-class polyseme,70.92486053546902,98.66339266695347
take,Intra-class polyseme,57.260839251971795,97.59601622865571
think,Intra-class polyseme,49.71878113381851,94.18631775840223
follow,Intra-class polyseme,74.77254338329543,88.56021908979481
serve,Intra-class polyseme,68.56945032073774,92.35886553353795
apply,Intra-class polyseme,74.51245305250885,86.68154496779911
