Word,Type,Original,Translated
wife,Monoseme,67.39006052391431,89.65630196592623
opportunity,Monoseme,73.46632867982682,84.49321629539128
employee,Monoseme,82.16126518412956,86.46555355505399
dictionary,Monoseme,70.39963002904845,83.98914653920926
income,Monoseme,81.52466127615934,85.09073265664011
artist,Monoseme,74.05640199674234,91.20329511034906
emotion,Monoseme,81.99803659293782,85.42001363710096
equipment,Monoseme,76.30709594804115,82.84014584113532
kitchen,Monoseme,77.37329763888074,89.89699937782693
hotel,Monoseme,74.60107275223258,88.72445691688837
achieve,Monoseme,75.23895814898653,88.7347138999832
enable,Monoseme,80.81098913927647,91.97940943966907
compute,Monoseme,83.98970498899517,92.13162897782726
deserve,Monoseme,83.71186508643642,89.44806159260271
compete,Monoseme,87.7586774924646,86.91862052946902
resemble,Monoseme,79.82724455065558,83.77363949565486
flee,Monoseme,83.20716080798242,88.59778846706423
cooperate,Monoseme,85.52231119184711,88.19462634364926
await,Monoseme,74.49219584594314,84.57212716276182
detect,Monoseme,82.06778609439239,90.39840051410675
control,Inter-class polyseme,86.50734279050732,82.78316880269972
force,Inter-class polyseme,91.17593569287244,79.87746622469803
study,Inter-class polyseme,72.89337383963513,91.61194592855126
work,Inter-class polyseme,83.92733663002363,82.83850833817345
act,Inter-class polyseme,87.41824958348116,86.64330767783417
place,Inter-class polyseme,88.01282809608004,80.30226573581113
change,Inter-class polyseme,82.98313549683222,89.33486582842316
plan,Inter-class polyseme,84.11087727653909,86.92267433708878
attempt,Inter-class polyseme,78.21167224551881,91.13442414427251
claim,Inter-class polyseme,83.03935112831739,86.60455123601416
face,Inter-class polyseme,82.86362223806988,85.30321992629352
fire,Inter-class polyseme,72.85156298829358,82.67786829774592
share,Inter-class polyseme,79.3728813813545,80.30293526973264
answer,Inter-class polyseme,80.60736683719901,90.89483208570681
record,Inter-class polyseme,78.09073505129886,84.74788244818164
end,Inter-class polyseme,88.73676815256195,81.16143213095988
list,Inter-class polyseme,84.36019532770165,84.09520958324062
result,Inter-class polyseme,89.17720948127582,88.76342023621154
range,Inter-class polyseme,85.84651350633851,84.60298779981139
cost,Inter-class polyseme,83.27897146396641,90.7265364470111
life,Intra-class polyseme,83.81548093682484,82.38847176197622
section,Intra-class polyseme,79.80722497688636,87.27927142969799
thing,Intra-class polyseme,78.86681655508791,83.74786078562263
cell,Intra-class polyseme,74.71892233756617,82.17583755636332
feeling,Intra-class polyseme,83.62878676849122,88.84012467128528
moment,Intra-class polyseme,84.19736010437816,86.93802779343333
job,Intra-class polyseme,86.58374259701115,84.43431418149439
child,Intra-class polyseme,73.87722795800647,88.78041060601714
purpose,Intra-class polyseme,82.92582734965096,84.64509372230265
problem,Intra-class polyseme,80.0644352890496,85.42251292489603
accept,Intra-class polyseme,82.39669770161004,88.04897708777101
come,Intra-class polyseme,83.83275527510587,85.49935664870719
grow,Intra-class polyseme,80.52155331843646,90.18298614821552
recognize,Intra-class polyseme,81.96695941164751,88.7350244291226
appear,Intra-class polyseme,91.85262357879732,87.69104777955137
take,Intra-class polyseme,83.07985124554395,89.97947513436279
think,Intra-class polyseme,78.17136026972132,96.72144333257398
follow,Intra-class polyseme,87.66205155924669,82.79138135181684
serve,Intra-class polyseme,87.86285309685488,88.60148769244117
apply,Intra-class polyseme,85.16887338961557,91.06687690141732
