Word,Type,Original,Translated
wife,Monoseme,81.62716479057109,89.65630196592623
opportunity,Monoseme,90.98480584753987,86.71588352552229
employee,Monoseme,88.19990869431972,86.46555355505399
dictionary,Monoseme,80.04523743359775,85.1163312845357
income,Monoseme,85.63234706655861,87.65075970910578
artist,Monoseme,87.06020323505508,93.67387475648746
emotion,Monoseme,88.21870975400773,85.98506017749864
equipment,Monoseme,84.89167194923222,84.0275413127846
kitchen,Monoseme,83.23372216275091,90.89050244760301
hotel,Monoseme,80.94908251188056,90.14005657016608
achieve,Monoseme,93.21097062200573,92.56094904843239
enable,Monoseme,90.48467216176651,91.97940943966907
compute,Monoseme,88.64310208526682,92.13162897782726
deserve,Monoseme,88.15501377362187,89.44806159260271
compete,Monoseme,94.61726430525145,86.91862052946902
resemble,Monoseme,89.11452672307794,86.19880179892071
flee,Monoseme,87.85072294668109,88.59778846706423
cooperate,Monoseme,91.03001801733336,90.51310459598102
await,Monoseme,91.11639088717932,92.8951247087104
detect,Monoseme,85.97441602968402,90.39840051410675
control,Inter-class polyseme,91.88448286188986,84.70431092522445
force,Inter-class polyseme,92.30732980144133,80.29262533845119
study,Inter-class polyseme,84.17858172544175,91.61194592855126
work,Inter-class polyseme,94.65256289661669,85.04542975334395
act,Inter-class polyseme,91.03221897531017,86.90684676521238
place,Inter-class polyseme,94.07235217454699,80.74745680351444
change,Inter-class polyseme,90.27055704483408,89.33486582842316
plan,Inter-class polyseme,89.72795294336665,86.92267433708878
attempt,Inter-class polyseme,91.86887882250657,91.13442414427251
claim,Inter-class polyseme,91.47973682443165,86.60455123601416
face,Inter-class polyseme,93.66647101484637,89.04152084692635
fire,Inter-class polyseme,82.99147866157224,87.54465101903659
share,Inter-class polyseme,90.21590409796374,84.96637755799765
answer,Inter-class polyseme,86.15255405725023,90.89483208570681
record,Inter-class polyseme,87.98337840974223,84.74788244818164
end,Inter-class polyseme,95.94691960651456,81.75717662210202
list,Inter-class polyseme,89.90578364777774,87.6133837343263
result,Inter-class polyseme,90.42475379830832,88.76342023621154
range,Inter-class polyseme,91.59182742780129,84.60298779981139
cost,Inter-class polyseme,90.32055645728107,90.7265364470111
life,Intra-class polyseme,89.58981087285204,82.38847176197622
section,Intra-class polyseme,87.21617328431986,87.27927142969799
thing,Intra-class polyseme,85.78111028028351,86.03486369065156
cell,Intra-class polyseme,79.77776974081272,82.17583755636332
feeling,Intra-class polyseme,87.05373505262055,88.84012467128528
moment,Intra-class polyseme,88.85045262729398,86.93802779343333
job,Intra-class polyseme,91.9359643549466,85.41600173945754
child,Intra-class polyseme,86.28913598399802,89.63225518099911
purpose,Intra-class polyseme,91.83754879256317,84.64509372230265
problem,Intra-class polyseme,90.70975084570492,89.57309831468173
accept,Intra-class polyseme,90.9519787910932,88.50091631809973
come,Intra-class polyseme,90.34577156762778,87.41094109878254
grow,Intra-class polyseme,91.29328447487133,90.18298614821552
recognize,Intra-class polyseme,91.08431520594078,89.02097568937322
appear,Intra-class polyseme,94.71411632129889,87.69104777955137
take,Intra-class polyseme,89.93691305837558,89.97947513436279
think,Intra-class polyseme,80.46771365339931,96.72144333257398
follow,Intra-class polyseme,92.81045113811402,84.26744386816638
serve,Intra-class polyseme,94.8876999406092,88.60148769244117
apply,Intra-class polyseme,90.0532763303069,91.06687690141732
