Word,Type,Original,Translated
wife,Monoseme,71.00793239085543,89.65630196592623
opportunity,Monoseme,84.60603604387177,86.71588352552229
employee,Monoseme,86.92323009121527,86.46555355505399
dictionary,Monoseme,76.84658799503927,85.1163312845357
income,Monoseme,84.61642114083656,85.64638104185134
artist,Monoseme,78.38189493033941,92.35686259233235
emotion,Monoseme,84.08165470553514,85.98506017749864
equipment,Monoseme,82.76050111773591,84.0275413127846
kitchen,Monoseme,80.99630567382215,90.89050244760301
hotel,Monoseme,80.94908251188056,89.70736874433389
achieve,Monoseme,87.74233135215017,91.48075176638336
enable,Monoseme,85.53291147963398,91.97940943966907
compute,Monoseme,83.98970498899517,92.13162897782726
deserve,Monoseme,88.15501377362187,89.44806159260271
compete,Monoseme,87.7586774924646,86.91862052946902
resemble,Monoseme,85.34689744755194,83.77363949565486
flee,Monoseme,85.75842903745065,88.59778846706423
cooperate,Monoseme,88.13287490676257,89.41476779648532
await,Monoseme,85.46043927676148,92.8951247087104
detect,Monoseme,85.97441602968402,90.39840051410675
control,Inter-class polyseme,89.20416196230661,82.78316880269972
force,Inter-class polyseme,91.83140872066544,80.29262533845119
study,Inter-class polyseme,75.49683553560853,91.61194592855126
work,Inter-class polyseme,85.8596212328911,82.83850833817345
act,Inter-class polyseme,88.18994362603259,86.90684676521238
place,Inter-class polyseme,89.23855065847614,80.74745680351444
change,Inter-class polyseme,86.56136507694059,89.33486582842316
plan,Inter-class polyseme,87.86207241796757,86.92267433708878
attempt,Inter-class polyseme,86.43498081525748,91.13442414427251
claim,Inter-class polyseme,88.20530549150449,86.60455123601416
face,Inter-class polyseme,89.36398763058092,86.87030089789438
fire,Inter-class polyseme,76.30338320394515,84.10121312413409
share,Inter-class polyseme,80.87285241248242,80.30293526973264
answer,Inter-class polyseme,81.8882099361021,90.89483208570681
record,Inter-class polyseme,83.41020489341751,84.74788244818164
end,Inter-class polyseme,88.73676815256195,81.16143213095988
list,Inter-class polyseme,88.82572140339572,87.6133837343263
result,Inter-class polyseme,89.17720948127582,88.76342023621154
range,Inter-class polyseme,89.3900923425234,84.60298779981139
cost,Inter-class polyseme,85.28335306612135,90.7265364470111
life,Intra-class polyseme,86.25985797908889,82.38847176197622
section,Intra-class polyseme,81.674850551493,87.27927142969799
thing,Intra-class polyseme,80.73572336344024,83.75154580604507
cell,Intra-class polyseme,75.39966675230158,82.17583755636332
feeling,Intra-class polyseme,83.62878676849122,88.84012467128528
moment,Intra-class polyseme,85.77705795149583,86.93802779343333
job,Intra-class polyseme,89.10992011464202,85.41600173945754
child,Intra-class polyseme,79.07095720313062,88.78041060601714
purpose,Intra-class polyseme,89.46259806595629,84.64509372230265
problem,Intra-class polyseme,82.52916541779314,87.88467328546837
accept,Intra-class polyseme,85.58056592723767,88.04897708777101
come,Intra-class polyseme,87.07628590141154,87.41094109878254
grow,Intra-class polyseme,86.84608050076424,90.18298614821552
recognize,Intra-class polyseme,86.30052351356571,88.7350244291226
appear,Intra-class polyseme,93.0010055702038,87.69104777955137
take,Intra-class polyseme,88.01864941375352,89.97947513436279
think,Intra-class polyseme,79.85981759050138,96.72144333257398
follow,Intra-class polyseme,92.81045113811402,84.26744386816638
serve,Intra-class polyseme,90.031321825026,88.60148769244117
apply,Intra-class polyseme,89.64894432957587,91.06687690141732
