Word,Type,Original,Translated
wife,Monoseme,69.43043655613084,93.29937360945124
opportunity,Monoseme,63.19327123670992,94.40684799159212
employee,Monoseme,72.3679811197957,86.79841145533489
dictionary,Monoseme,76.85942279083507,83.59622232519521
income,Monoseme,74.2146860770384,90.08083506884971
artist,Monoseme,82.9278495339828,97.6810467622069
emotion,Monoseme,74.06564868700694,81.31582788440511
equipment,Monoseme,75.49570320436229,87.82380627454265
kitchen,Monoseme,79.05830505629393,100.45008285251802
hotel,Monoseme,71.18306950937354,87.02629123667259
achieve,Monoseme,73.55055907165868,101.1588826898664
enable,Monoseme,74.6369368207545,97.86018968257532
compute,Monoseme,82.96614548127364,86.6655334266606
deserve,Monoseme,70.1579273893321,92.25834877976828
compete,Monoseme,76.97510213570524,94.03763963183151
resemble,Monoseme,77.83529322418285,87.53109423874706
flee,Monoseme,82.57465924769129,88.63864584068176
cooperate,Monoseme,82.6715965146084,93.63546049086558
await,Monoseme,83.28847472118517,89.21167503454383
detect,Monoseme,72.9804443028955,91.85817858119174
control,Inter-class polyseme,70.16661164078921,85.67936627676144
force,Inter-class polyseme,75.37869257260387,88.47531917036599
study,Inter-class polyseme,70.36687162230356,90.26209248137164
work,Inter-class polyseme,56.629514474565894,91.64518705248955
act,Inter-class polyseme,80.13547872059729,88.32675941655825
place,Inter-class polyseme,55.05589954713098,80.73015321590641
change,Inter-class polyseme,58.881656713003565,90.16439526162519
plan,Inter-class polyseme,64.60965277910887,82.82801759568606
attempt,Inter-class polyseme,63.16487465323512,97.30700868337799
claim,Inter-class polyseme,73.5529376980808,86.93606536600305
face,Inter-class polyseme,70.82796300064417,89.73817603324656
fire,Inter-class polyseme,78.33177419531637,92.57250387402794
share,Inter-class polyseme,70.07170349450337,87.50260117612861
answer,Inter-class polyseme,68.33722033661743,92.02138753870732
record,Inter-class polyseme,67.73004261024765,87.93723216024382
end,Inter-class polyseme,61.94960315427603,87.75767268560531
list,Inter-class polyseme,66.91290147593446,90.91487409329899
result,Inter-class polyseme,65.79418442064808,95.306432380942
range,Inter-class polyseme,68.46190349307156,92.38327340758188
cost,Inter-class polyseme,69.50867858939418,90.70706077285978
life,Intra-class polyseme,58.919856845311514,80.14253871782059
section,Intra-class polyseme,75.51313023496371,88.19531973846868
thing,Intra-class polyseme,44.46900727673409,78.5599293131949
cell,Intra-class polyseme,85.5060049636642,104.59568729466523
feeling,Intra-class polyseme,65.50743113903337,90.42105597723643
moment,Intra-class polyseme,60.933840540371975,91.63667677535845
job,Intra-class polyseme,72.48264881806803,95.40215853193926
child,Intra-class polyseme,72.15168705563339,88.33856335260818
purpose,Intra-class polyseme,65.64708509107736,86.262908601061
problem,Intra-class polyseme,65.97693089505955,93.52620768975149
accept,Intra-class polyseme,72.12934461290583,96.63249795484056
come,Intra-class polyseme,54.53485552316203,85.97010663586987
grow,Intra-class polyseme,69.5279416839345,89.6227357238112
recognize,Intra-class polyseme,71.98088800330918,101.45820191941725
appear,Intra-class polyseme,63.737855934805445,98.66339266695347
take,Intra-class polyseme,54.789987774080075,97.59601622865571
think,Intra-class polyseme,44.625445144943804,92.74955107954891
follow,Intra-class polyseme,68.6859508520618,82.55827336808271
serve,Intra-class polyseme,67.825948181967,92.35886553353795
apply,Intra-class polyseme,66.57956915363837,84.91727020996154
