Word,Type,Original,Translated
wife,Monoseme,64.71476004143933,91.99202960280617
opportunity,Monoseme,75.0177814775185,92.35391778692926
employee,Monoseme,71.51851005173229,88.98993399271093
dictionary,Monoseme,74.93059625129118,88.1203053359229
income,Monoseme,72.63150725140692,88.26372995801408
artist,Monoseme,70.31471375675763,92.62941614772204
emotion,Monoseme,74.22750086842089,88.23959855139842
equipment,Monoseme,68.82920589679787,92.92051127116848
kitchen,Monoseme,69.02293975932936,92.53455159451727
hotel,Monoseme,66.83561070920351,90.26592596574042
achieve,Monoseme,72.75273398781667,93.73467863013526
enable,Monoseme,74.00084539023123,96.73562915757498
compute,Monoseme,75.87552973318861,89.55766740613933
deserve,Monoseme,76.68711866567645,92.86758835281924
compete,Monoseme,79.03593595607373,90.72508512880883
resemble,Monoseme,78.1870995411292,93.54380158181507
flee,Monoseme,75.5864865464135,90.11292239003305
cooperate,Monoseme,78.71134884459315,98.45711181761337
await,Monoseme,77.47978736335398,93.76323485983829
detect,Monoseme,74.28626607732613,90.76750900575658
control,Inter-class polyseme,71.11225990241157,91.32478862051464
force,Inter-class polyseme,79.24332943638878,90.10556030650534
study,Inter-class polyseme,73.26107353498473,94.91469893563092
work,Inter-class polyseme,72.72587711670701,93.01276627219335
act,Inter-class polyseme,78.43688774468079,89.56179880538197
place,Inter-class polyseme,77.74738994870127,88.01201865856893
change,Inter-class polyseme,72.7836574626001,94.0228605478964
plan,Inter-class polyseme,72.61570324581962,91.54173156444998
attempt,Inter-class polyseme,74.4812495357972,97.12402589296535
claim,Inter-class polyseme,76.17551907591186,93.45488281161516
face,Inter-class polyseme,73.43857210297324,91.1418248336142
fire,Inter-class polyseme,69.98161978384141,88.11039983190928
share,Inter-class polyseme,77.96439016793815,91.65796791068077
answer,Inter-class polyseme,67.12427149252784,91.9504501250487
record,Inter-class polyseme,72.97560127383109,89.58961460660306
end,Inter-class polyseme,75.50451301209898,87.88349811856231
list,Inter-class polyseme,72.26617369163449,94.75591758921468
result,Inter-class polyseme,77.23771856320052,96.26624267726169
range,Inter-class polyseme,78.20372405864278,92.15491615029853
cost,Inter-class polyseme,71.71295867156206,90.92980586104936
life,Intra-class polyseme,67.64323304189075,89.94877514854596
section,Intra-class polyseme,75.97665354075359,91.09216621692867
thing,Intra-class polyseme,71.03872292058348,88.06551629272195
cell,Intra-class polyseme,73.28544342366952,96.52400583772994
feeling,Intra-class polyseme,70.31713662200202,91.16746640840122
moment,Intra-class polyseme,74.17323384808682,91.77748869325053
job,Intra-class polyseme,70.4320247624296,90.30334986176608
child,Intra-class polyseme,70.2157348049418,90.4605737940071
purpose,Intra-class polyseme,72.79553240400138,93.02200730981144
problem,Intra-class polyseme,65.48284233657915,94.68594610162336
accept,Intra-class polyseme,73.49931715568356,94.39628254430393
come,Intra-class polyseme,73.03920605826559,91.70280785679444
grow,Intra-class polyseme,72.45994458153982,89.71904387170031
recognize,Intra-class polyseme,71.64197319292717,92.3039070267672
appear,Intra-class polyseme,75.02413957029296,96.69762942545901
take,Intra-class polyseme,77.96275248445473,98.32310187225855
think,Intra-class polyseme,68.76785749475376,92.2774870196685
follow,Intra-class polyseme,76.89852361989364,88.9197153247373
serve,Intra-class polyseme,80.83424134227964,93.39073749285411
apply,Intra-class polyseme,79.2550300165562,94.30862337556084
