Word,Type,Original,Translated
wife,Monoseme,77.69208402963655,93.29937360945124
opportunity,Monoseme,72.11822616495176,95.61101594394573
employee,Monoseme,77.86927445384512,86.79841145533489
dictionary,Monoseme,90.02967927435458,87.48208370355137
income,Monoseme,79.08051334676117,90.43605794694673
artist,Monoseme,86.08485717958881,97.6810467622069
emotion,Monoseme,83.65301696381422,88.99623378731769
equipment,Monoseme,82.42004559166371,89.79447025582643
kitchen,Monoseme,83.21201698612197,100.45008285251802
hotel,Monoseme,80.12732578242553,87.02629123667259
achieve,Monoseme,82.33006045747332,101.1588826898664
enable,Monoseme,77.42840992244963,97.86018968257532
compute,Monoseme,90.12627602595249,94.45442541082438
deserve,Monoseme,84.67284059908553,92.59227451108876
compete,Monoseme,100.19840925176558,104.4483820594732
resemble,Monoseme,82.67466785726258,94.49961094441663
flee,Monoseme,85.46683229732682,88.63864584068176
cooperate,Monoseme,87.06064863719625,94.760663853169
await,Monoseme,86.3732958875674,89.21167503454383
detect,Monoseme,83.5640175229856,93.03532706763579
control,Inter-class polyseme,75.00667336382395,86.98898552985585
force,Inter-class polyseme,79.38878984401933,88.47531917036599
study,Inter-class polyseme,78.32218434983406,90.26209248137164
work,Inter-class polyseme,62.20648153967405,94.05528073701272
act,Inter-class polyseme,80.13547872059729,88.32675941655825
place,Inter-class polyseme,64.3174617116247,83.94501517062234
change,Inter-class polyseme,66.4814990351398,90.16439526162519
plan,Inter-class polyseme,70.82287392411365,85.42446661157298
attempt,Inter-class polyseme,75.17443944241577,97.30700868337799
claim,Inter-class polyseme,79.26609231385468,98.3326064096353
face,Inter-class polyseme,79.47524520644147,93.81368530770274
fire,Inter-class polyseme,78.33177419531637,92.57250387402794
share,Inter-class polyseme,70.37849762377265,87.50260117612861
answer,Inter-class polyseme,70.29929614825302,93.46082009057045
record,Inter-class polyseme,79.65744536449853,91.05451598288266
end,Inter-class polyseme,63.11463078588531,88.5340947160527
list,Inter-class polyseme,75.49551624568693,97.05650927021966
result,Inter-class polyseme,66.61088182624408,95.306432380942
range,Inter-class polyseme,74.42329901365126,93.1215278586672
cost,Inter-class polyseme,73.0668709756739,90.8974253668119
life,Intra-class polyseme,66.06043023566646,84.21437179821385
section,Intra-class polyseme,79.9540416989744,90.81350019414855
thing,Intra-class polyseme,54.45107697288584,88.32357091738902
cell,Intra-class polyseme,90.2850749427004,104.59568729466523
feeling,Intra-class polyseme,70.50125815407091,90.42105597723643
moment,Intra-class polyseme,62.54528430785335,91.67985930878595
job,Intra-class polyseme,76.18658233193437,95.40215853193926
child,Intra-class polyseme,81.748677350752,90.03089857001352
purpose,Intra-class polyseme,68.14072708743595,86.262908601061
problem,Intra-class polyseme,70.33022417590983,93.52620768975149
accept,Intra-class polyseme,74.34593823693886,96.63249795484056
come,Intra-class polyseme,56.927658063657134,87.57668460565398
grow,Intra-class polyseme,81.07144839288651,90.17632980265789
recognize,Intra-class polyseme,74.55598019884472,101.45820191941725
appear,Intra-class polyseme,71.08146668640839,98.66339266695347
take,Intra-class polyseme,57.63178968363695,97.59601622865571
think,Intra-class polyseme,53.19485756000492,94.18631775840223
follow,Intra-class polyseme,77.00590460136337,88.61328499272265
serve,Intra-class polyseme,70.91467735274833,92.35886553353795
apply,Intra-class polyseme,74.51245305250885,87.7897110329113
