Word,Type,Original,Translated
wife,Monoseme,55.559082577449296,85.7651054486539
opportunity,Monoseme,66.12064725601795,92.35391778692926
employee,Monoseme,67.80175939236356,87.8958655202832
dictionary,Monoseme,67.66203294994551,88.0928434401062
income,Monoseme,65.53208830013604,87.5189862523591
artist,Monoseme,62.802260238968145,91.62978914658315
emotion,Monoseme,69.71787886736155,88.23959855139842
equipment,Monoseme,61.82161382229656,88.22668132477646
kitchen,Monoseme,65.89457078070294,90.36256895127738
hotel,Monoseme,66.78818591442027,90.26592596574042
achieve,Monoseme,70.74500679130588,92.48219776142712
enable,Monoseme,72.10815670355299,96.73562915757498
compute,Monoseme,73.062613863658,88.91007203631608
deserve,Monoseme,72.4844841575155,91.07300528994489
compete,Monoseme,73.24195593215616,89.22866585012801
resemble,Monoseme,75.1943135037068,93.54380158181507
flee,Monoseme,75.37264311021374,90.11292239003305
cooperate,Monoseme,73.23302148115181,91.1473677843564
await,Monoseme,73.24215387631949,93.76323485983829
detect,Monoseme,72.63163427909741,90.27987934675298
control,Inter-class polyseme,67.43123814524768,87.4974619035364
force,Inter-class polyseme,76.4678206777,90.10556030650534
study,Inter-class polyseme,66.45951157759818,90.40850258766909
work,Inter-class polyseme,69.37545845610515,93.01276627219335
act,Inter-class polyseme,77.85230883449134,87.53734217632545
place,Inter-class polyseme,73.77212923806714,88.01201865856893
change,Inter-class polyseme,70.15942865153475,94.0228605478964
plan,Inter-class polyseme,70.4592563844098,91.54173156444998
attempt,Inter-class polyseme,67.94101345074303,92.13698329169677
claim,Inter-class polyseme,76.17551907591186,93.45488281161516
face,Inter-class polyseme,70.8504850235802,90.57485869564198
fire,Inter-class polyseme,66.49645943203109,87.1215533662363
share,Inter-class polyseme,73.61498890755624,91.65796791068077
answer,Inter-class polyseme,62.5843938729541,91.9504501250487
record,Inter-class polyseme,69.77606309570622,86.24474674117393
end,Inter-class polyseme,74.20128486355134,87.88349811856231
list,Inter-class polyseme,67.70732288307585,94.75591758921468
result,Inter-class polyseme,71.64087393359645,96.26624267726169
range,Inter-class polyseme,75.58419987194748,92.15491615029853
cost,Inter-class polyseme,68.89906183935389,90.72305010354695
life,Intra-class polyseme,65.9174415304588,89.94877514854596
section,Intra-class polyseme,75.1265872515993,89.08872555330426
thing,Intra-class polyseme,64.38007365190641,85.05513407547367
cell,Intra-class polyseme,69.17432762983528,87.66346615832425
feeling,Intra-class polyseme,65.19893981083273,89.27026436488325
moment,Intra-class polyseme,72.72650656352027,91.77748869325053
job,Intra-class polyseme,66.9007167504883,90.30334986176608
child,Intra-class polyseme,66.70337745167558,88.91134737773261
purpose,Intra-class polyseme,67.84295547803933,93.02200730981144
problem,Intra-class polyseme,61.284895746665626,91.17767722482778
accept,Intra-class polyseme,69.52652182416529,91.47007114561076
come,Intra-class polyseme,70.42208084867391,91.70280785679444
grow,Intra-class polyseme,67.27388848822982,89.71904387170031
recognize,Intra-class polyseme,69.21922627942715,91.57667697269551
appear,Intra-class polyseme,69.65879502085666,96.69762942545901
take,Intra-class polyseme,71.02303223447025,93.66068640312207
think,Intra-class polyseme,63.16451106347027,89.00693917284916
follow,Intra-class polyseme,75.26573170733629,88.9197153247373
serve,Intra-class polyseme,76.11829615445052,89.78561018699548
apply,Intra-class polyseme,74.31163220310648,94.30862337556084
