Word,Type,Original,Translated
wife,Monoseme,86.46753123934312,95.4016735691337
opportunity,Monoseme,73.33010277906001,95.61101594394573
employee,Monoseme,83.41190617544595,86.79841145533489
dictionary,Monoseme,92.26341389282045,87.48208370355137
income,Monoseme,80.3868832213592,90.43851918124707
artist,Monoseme,89.65139694681235,97.6810467622069
emotion,Monoseme,87.63586241917703,88.99623378731769
equipment,Monoseme,82.42004559166371,89.79447025582643
kitchen,Monoseme,84.11028418850198,100.45008285251802
hotel,Monoseme,82.59570660007594,87.49018527438072
achieve,Monoseme,82.33006045747332,101.1588826898664
enable,Monoseme,78.4803327783638,97.86018968257532
compute,Monoseme,92.55911736999458,94.45442541082438
deserve,Monoseme,84.67284059908553,92.59227451108876
compete,Monoseme,101.89475038650193,105.15390033589912
resemble,Monoseme,82.86776394363139,94.49961094441663
flee,Monoseme,88.78401050192123,88.63864584068176
cooperate,Monoseme,88.56914200980381,94.9030341562097
await,Monoseme,91.82759937528729,91.63365745601843
detect,Monoseme,84.39868793130955,93.03532706763579
control,Inter-class polyseme,76.56271865834836,89.30060914678499
force,Inter-class polyseme,80.46978706380811,88.47531917036599
study,Inter-class polyseme,79.74425126334289,90.26209248137164
work,Inter-class polyseme,62.20648153967405,94.05528073701272
act,Inter-class polyseme,83.22818655423593,88.32675941655825
place,Inter-class polyseme,65.65452591830147,83.94501517062234
change,Inter-class polyseme,71.24350220624719,94.00291359595788
plan,Inter-class polyseme,71.88760793558501,85.42446661157298
attempt,Inter-class polyseme,76.7749027688541,97.30700868337799
claim,Inter-class polyseme,80.80148579124425,98.3326064096353
face,Inter-class polyseme,79.47524520644147,93.81368530770274
fire,Inter-class polyseme,81.45772806172062,92.57250387402794
share,Inter-class polyseme,73.84758842775318,88.43715465549701
answer,Inter-class polyseme,71.60284172471788,93.46082009057045
record,Inter-class polyseme,80.70678600665306,91.05451598288266
end,Inter-class polyseme,65.79947687733952,88.5340947160527
list,Inter-class polyseme,75.49551624568693,97.05650927021966
result,Inter-class polyseme,69.56134561068579,95.306432380942
range,Inter-class polyseme,74.45399376539505,93.1215278586672
cost,Inter-class polyseme,78.9002509819867,98.1083042489561
life,Intra-class polyseme,70.81565132359025,85.89297230411641
section,Intra-class polyseme,82.14961743357776,90.81350019414855
thing,Intra-class polyseme,55.918439436177785,88.32357091738902
cell,Intra-class polyseme,90.2850749427004,104.59568729466523
feeling,Intra-class polyseme,76.07626998837726,93.15592356863954
moment,Intra-class polyseme,63.785092501515955,92.2172915088147
job,Intra-class polyseme,79.257512768499,95.40215853193926
child,Intra-class polyseme,81.748677350752,90.5454563673589
purpose,Intra-class polyseme,69.81218249196439,86.96791348933141
problem,Intra-class polyseme,70.93546403984695,93.52620768975149
accept,Intra-class polyseme,75.1594620401608,96.63249795484056
come,Intra-class polyseme,58.539929619159786,87.57668460565398
grow,Intra-class polyseme,85.11486729580763,90.17632980265789
recognize,Intra-class polyseme,76.41596627492025,101.45820191941725
appear,Intra-class polyseme,72.2057877821184,98.66339266695347
take,Intra-class polyseme,61.23896981944292,97.59601622865571
think,Intra-class polyseme,59.3030574275002,96.80508131200747
follow,Intra-class polyseme,80.60958392240245,90.08730571956198
serve,Intra-class polyseme,84.3882475620936,92.35886553353795
apply,Intra-class polyseme,78.23324884753745,89.22821213501884
