Word,Type
wife,Monoseme
opportunity,Monoseme
employee,Monoseme
dictionary,Monoseme
income,Monoseme
artist,Monoseme
emotion,Monoseme
equipment,Monoseme
kitchen,Monoseme
hotel,Monoseme
achieve,Monoseme
enable,Monoseme
compute,Monoseme
deserve,Monoseme
compete,Monoseme
resemble,Monoseme
flee,Monoseme
cooperate,Monoseme
await,Monoseme
detect,Monoseme
control,Inter-class polyseme
force,Inter-class polyseme
study,Inter-class polyseme
work,Inter-class polyseme
act,Inter-class polyseme
place,Inter-class polyseme
change,Inter-class polyseme
plan,Inter-class polyseme
attempt,Inter-class polyseme
claim,Inter-class polyseme
face,Inter-class polyseme
fire,Inter-class polyseme
share,Inter-class polyseme
answer,Inter-class polyseme
record,Inter-class polyseme
end,Inter-class polyseme
list,Inter-class polyseme
result,Inter-class polyseme
range,Inter-class polyseme
cost,Inter-class polyseme
church,Intra-class polyseme
life,Intra-class polyseme
section,Intra-class polyseme
thing,Intra-class polyseme
cell,Intra-class polyseme
feeling,Intra-class polyseme
business,Intra-class polyseme
moment,Intra-class polyseme
job,Intra-class polyseme
history,Intra-class polyseme
accept,Intra-class polyseme
come,Intra-class polyseme
grow,Intra-class polyseme
recognize,Intra-class polyseme
appear,Intra-class polyseme
take,Intra-class polyseme
think,Intra-class polyseme
follow,Intra-class polyseme
serve,Intra-class polyseme
apply,Intra-class polyseme
